teryt;okr;nrk;komitet;kandydat;glosy;procent;procentl;wynik;plec;terytMZ;mzam
040000;2;01;SLD;MOLUS Ryszard Edwin;2024;1.82;38.15;N;M;041409;Świecie
040000;2;02;SLD;JAROSZ Piotr;967;0.87;18.22;N;M;041601;Łosiny
040000;2;03;SLD;KLUCZKA Benedykt Jan;646;0.58;12.17;N;M;041302;Sępólno Krajeńskie
040000;2;04;SLD;KISIEL Renata Maria;656;0.59;12.36;N;K;046101;Bydgoszcz
040000;2;05;SLD;GROBELNA Anna Maria;1013;0.91;19.09;N;K;041606;Tuchola
040000;3;01;PO;HEYKA Kamil Sebastian;4252;3.42;15.19;N;M;046201;Grudziądz
040000;3;02;PO;MALINOWSKI Robert;9415;7.57;33.64;T;M;040601;Wałdowo Szlacheckie
040000;3;03;PO;SAWICKA Anna Katarzyna;3299;2.65;11.79;N;K;040201;Brodnica
040000;3;04;PO;WASILUK Barbara Marianna;1405;1.13;5.02;N;K;040501;Golub-Dobrzyń
040000;3;05;PO;DURSZEWICZ Jarosław Czesław;414;0.33;1.48;N;M;046201;Grudziądz
040000;3;06;PO;ZACZENIUK-ZAREMBA Beata Stanisława;303;0.24;1.08;N;K;041203;Stary Kobrzyniec
040000;3;07;PO;CZEPEK Michał Marek;8902;7.15;31.80;T;M;046201;Grudziądz
040000;3;01;PSL;BOBER Ryszard Jakub;14149;11.37;56.50;T;M;040207;Jabłonowo-Zamek
040000;3;02;PSL;ZGÓRZYŃSKI Paweł;5299;4.26;21.16;N;M;041203;Stary Kobrzyniec
040000;3;03;PSL;PASTUSZKA Anna;1271;1.02;5.08;N;K;046201;Grudziądz
040000;3;04;PSL;RACHUBIŃSKA Marzena Ewa;1362;1.09;5.44;N;K;040504;Kowalewo Pomorskie
040000;3;05;PSL;PIĄTEK Marian Sobiesław;1311;1.05;5.23;N;M;041704;Uciąż
040000;3;06;PSL;SZATKOWSKA Jadwiga;704;0.57;2.81;N;K;040604;Zielnowo
040000;3;07;PSL;OLECH Zbigniew Jerzy;948;0.76;3.79;N;M;046201;Grudziądz
040000;3;01;PiS;TARANOWICZ Małgorzata Beata;14526;11.68;37.84;T;K;040602;Mełno ZZD
040000;3;02;PiS;HILDEBRANDT Marek;9986;8.03;26.01;T;M;040201;Brodnica
040000;3;03;PiS;SZALKOWSKI Andrzej Lech;5301;4.26;13.81;N;M;041201;Rypin
040000;3;04;PiS;MALINOWSKI Dariusz Ryszard;2442;1.96;6.36;N;M;040202;Grzybno
040000;3;05;PiS;JANKIEWICZ Paweł Edward;1765;1.42;4.60;N;M;040205;Górzno
040000;3;06;PiS;KLIMEK Małgorzata Genowefa;2550;2.05;6.64;N;K;041705;Wałycz
040000;3;07;PiS;RATYŃSKA Marzena Małgorzata;1821;1.46;4.74;N;K;040501;Golub-Dobrzyń
